regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Animalia,Arthropodes,Insectes,527207,"[12225, 12227, 223179, 527207]","Carilia virginea (Linnaeus, 1758)",4,223179,"[12225, 12227, 223179, 527207]","Gaurotes virginea (Linnaeus, 1758)",4,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660375,"[660375, 839574]","Arthonia cinnabarina (DC.) Wallr., 1831",2,839574,"[660375, 839574]","Coniocarpon cinnabarinum DC., 1805",2,,,5,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,217422,[217422],"Cheilosia urbana (Meigen, 1822)",1,1040722,[217422],"Cheilosia urbanus (Meigen, 1822)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,971744,"[66130, 971744]","Gomphocerippus apricarius (Linnaeus, 1758)",2,66130,"[66130, 971744]","Chorthippus apricarius (Linnaeus, 1758)",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,127685,"[103675, 127685]","Tristagma uniflorum (Lindl.) Traub, 1963",2,103675,"[103675, 127685]","Ipheion uniflorum (Lindl.) Raf., 1837",2,"[108, 106, 107]",3,5,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,464218,[464218],"Tricholoma hemisulphureum (Kühner) A.Riva, 1999",1,1040929,[464218],"Tricholoma hemisulphureum (Kühner) A.Riva ex Boffelli, 2016",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,971798,"[66142, 971798]","Gomphocerippus biguttulus biguttulus (Linnaeus, 1758)",2,66142,"[66142, 971798]","Chorthippus biguttulus biguttulus (Linnaeus, 1758)",2,,,3,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,29852,[29852],"Chroogomphus rutilus var. tatrensis (Pilát) Bon & Courtec., 1987",1,509534,[29852],"Chroogomphus helveticus subsp. tatrensis (Pilát) Kuthan & Singer, 1976",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,239919,"[239912, 239919]","Megachile leachella Curtis, 1828",2,239919,[239919],"Megachile leachella Curtis, 1828",1,,,,cas2,Keep attributes and medium,split
Animalia,Arthropodes,Insectes,264354,"[264354, 782039]","Plagiolepis pallescens Forel, 1889",2,264354,[264354],"Plagiolepis pallescens Forel, 1889",1,,,,cas2,Keep attributes and medium,split
